epoch,train_loss,rmse,mae,r2
1,782.2651985387482,14.368884082842522,11.236679889854736,-0.04828416383900214
2,185.67756219343707,12.041698073811643,9.21189720341005,0.2637786456742147
3,163.106974651939,11.895190894306914,8.604842155725922,0.2815843663215961
4,152.46073912205307,11.356545807403446,8.493582948676702,0.3451746909326391
5,153.08719873656497,11.237486510565496,8.41864998050966,0.3588327819178916
6,147.22211616005055,11.348390938069725,8.823789362562124,0.34611478269163853
7,146.8753557068309,11.422025239293708,9.007554652946284,0.3376017543210701
8,145.31344400980825,11.043566818534131,8.096797041376503,0.3807704556661786
9,140.99205516285875,10.927100062875034,8.122521286878237,0.39376251991943545
10,138.71983405391566,10.87786406012611,8.262751654049081,0.39921345621228177
11,138.08378559094297,10.774494666665792,7.918620330427022,0.4105774274080337
12,135.5309978558116,10.656130529454202,7.983336320257273,0.4234565987278818
13,131.62696645362524,10.91414076220845,8.605947004828462,0.3951996358911839
14,132.1986617220646,10.506907869875786,7.74868639267397,0.439490741215547
15,129.10302223771382,10.750750661936214,7.724558617382403,0.41317241342865607
16,128.20798062593744,11.090037225901403,8.00124374654463,0.37554815876906356
17,126.61851540706945,10.425389041127328,7.924968466082424,0.4481545280852335
18,125.77825497440173,10.360346207289172,7.677019864623951,0.45501885231138084
19,123.63763518538772,10.360538396009884,7.831422304693344,0.45499863287103226
20,123.40072721727726,10.586129438045575,8.222173812930132,0.4310064513395119
