epoch,train_loss,val_loss,val_cindex
1,2.369845039788171,0.4452644432560679,0.7275396658707324
2,2.2997095263935012,0.46388148919246985,0.7353800603170008
3,2.3097349778285756,0.5044473232835104,0.7374232528358982
4,2.260973788256279,0.5238517026581833,0.7404136139426478
5,2.217555270806922,0.46883349897758814,0.7408999427008884
6,2.2257135157595127,0.4514630240116393,0.7374518004359626
7,2.1465890217854384,0.5707634236824,0.7276640518424418
8,2.0391486493406488,0.5425784051703494,0.7127214223229997
9,1.8834162160304004,0.6045542014272589,0.6904583725013204
10,1.7385937409453716,0.7367943074714625,0.687083638350846
