bin,predicted_survival,observed_survival,count
0,0.03749752759511423,0.7647058823529411,51
1,0.15941212522234835,0.8476190476190477,105
2,0.2580674169553465,0.9035087719298245,228
3,0.3562705868592566,0.9255079006772012,443
4,0.45240374801400235,0.9410377358490569,848
5,0.5517258810126991,0.9581351094196005,1051
6,0.6522615980725295,0.9698142414860681,1292
7,0.7528839751237871,0.9727474972191327,1798
8,0.8488307414586176,0.9882022471910109,1780
9,0.928381524138278,0.9868766404199474,762
