fold,rmse,mae,r2
0,11.452957104561031,8.233224380529668,0.4330046574718754
1,11.0293250778573,8.279354189001202,0.4001643567706572
2,10.841955384561532,7.895812281010824,0.4530636474033667
3,11.065508272892458,8.718387370905713,0.4268453983795528
4,10.586129438045576,8.222173812930132,0.4310064513395119
