epoch,train_loss,val_loss,val_cindex
1,2.405124891922045,0.42330935699079364,0.7101327697082913
2,2.2835986181387224,0.4331804306331614,0.7169073190094549
3,2.2459283273316686,0.41264919233065317,0.7189063328020363
4,2.2403367237783036,0.4191715085242481,0.7198025129874515
5,2.2098205694618187,0.43537373089062675,0.7225053760580757
6,2.2539944322864733,0.43934237207929794,0.7196449653292848
7,2.211554318029142,0.4857442914048474,0.7186198825144606
8,2.0865578222866636,0.4431450750783558,0.7122279489545588
9,2.020638314440804,0.4752620808882745,0.7037428822218721
10,1.906771521299467,0.5044709302079242,0.6917753984216589
