epoch,train_loss,rmse,mae,r2
1,798.8564570121217,15.0444642992764,11.582304954528809,-0.05311309881655357
2,190.2607052451686,12.594097232251421,9.418464254534415,0.26200122257415726
3,163.43887298072926,12.041241469487895,9.087745942567524,0.3253724234429445
4,161.8430962402855,11.824808641705166,8.67379595788472,0.3494063782604788
5,153.64570300088545,11.826792040763587,9.074988677741239,0.3491881091898382
6,150.18436740345933,11.605261401601837,8.555253024306595,0.373340810367891
7,147.59623566768957,11.538365371933075,8.66036226646752,0.3805444722198671
8,147.0547347091602,11.448145330093759,8.499992388857608,0.39019381277039367
9,144.35825357939066,11.36688855362248,8.388667421477834,0.39881967000829266
10,142.42532915818063,11.705125620434483,8.417806976719907,0.3625095012156916
11,139.23810674585224,11.57372906196219,8.286474355670254,0.3767415412954811
12,139.8643750459954,11.220355316281452,8.171562651127719,0.41421967791835834
13,137.1671714554563,11.136266393360705,8.390450600802042,0.4229668269607517
14,134.47043702705054,11.137100782252432,8.077063802326695,0.42288035487219056
15,131.08956103347705,11.063612558411174,8.005244898453855,0.43047148154593773
16,130.22652767491684,11.151623968859877,8.048113581096157,0.42137420323864716
17,127.666108692662,10.911827667342436,8.27848713249681,0.4459913374855988
18,125.26693730148972,11.519854229915039,9.161720303257116,0.3825304781559591
19,123.66266949667315,11.383949973703492,8.194848703995847,0.3970136018215673
20,124.5113876561799,10.841955384561533,7.895812281010824,0.4530636474033667
