fold,mae,mse,rmse,r2
0,7.97730827331543,120.02739715576172,10.955701582087826,0.427066445350647
1,7.675331115722656,109.69216918945312,10.473402942188997,0.46629077196121216
2,8.058530807495117,114.81747436523438,10.715291613634898,0.44457536935806274
3,8.181160926818848,130.78436279296875,11.436099107342885,0.4273146390914917
4,7.926413536071777,110.5286865234375,10.51326241104242,0.4699634313583374
