fold,delta_rmse,delta_mae,delta_r2
0,-0.10071452936906056,-0.008606112174438962,0.009804342982109804
1,-0.0073014289299244695,-0.023859895587538205,0.0007893582725214121
2,-0.09862445329111402,-0.06912589187257012,0.00966831072945179
3,-0.22263657941308956,-0.31050315779315696,0.022266164825540224
4,-0.043354220554730816,-0.0027488420852854745,0.00453549339330267
