experiment,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
image,14.639506944477494,0.5654124587819883,11.230855775390989,0.31852353902926445,-0.01172215852278824,0.01686644750897326
image_tabular,10.795722639033432,0.37474373596869726,8.080901855804857,0.25829219896217065,0.44925731619145903,0.02636658343659407
image_tabularONLY_no_qrisk,10.70119639672185,0.3760242256376528,7.99793307590226,0.2046930902653337,0.45867005023204416,0.030942374894517087
image_tabular_no_qrisk,10.822546656250797,0.3146365465435032,8.10283421729248,0.1862897933567735,0.4463563973064355,0.026581232313546733
mask,14.664238415770944,0.8002337406311445,11.216872429212893,0.5148902254083845,-0.0148969493350229,0.05176561837053849
tabular,12.854387240449455,0.7520398195798483,9.783102734335571,0.6034174956172396,0.21923431983512698,0.06383554266336006
tabular_no_retinal,13.418356362501473,0.8684724321629137,10.261584428822442,0.6409590889411284,0.14944934055427203,0.07376562230602607
